STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Georgia,Greene County,15994,18324,176,228
Georgia,Gwinnett County,805321,936250,11368,4729
Georgia,Habersham County,43041,45328,537,449
Georgia,Hall County,179684,204441,2586,1600
Georgia,Hancock County,9429,8457,49,120
Georgia,Haralson County,28780,29792,350,347
Georgia,Harris County,32024,35236,307,332
Georgia,Hart County,25213,26205,249,312
Georgia,Heard County,11834,11923,125,128
Georgia,Henry County,203922,234561,2602,1679
Georgia,Houston County,139900,157863,1958,1284
Georgia,Irwin County,9538,9416,104,114
Georgia,Jackson County,60485,72977,918,614
Georgia,Jasper County,13900,14219,145,138
Georgia,Jeff Davis County,15068,15115,190,150
Georgia,Jefferson County,16930,15362,179,226
Georgia,Jenkins County,8340,8676,97,107
Georgia,Johnson County,9980,9643,105,113
Georgia,Jones County,28669,28735,216,292
Georgia,Lamar County,18317,19077,215,236
Georgia,Lanier County,10078,10423,116,114
Georgia,Laurens County,48434,47546,615,561
Georgia,Lee County,28298,29992,325,245
Georgia,Liberty County,63453,61435,1361,384
Georgia,Lincoln County,7996,7921,75,94
Georgia,Long County,14464,19559,270,113
Georgia,Lowndes County,109233,117406,1643,993
Georgia,Lumpkin County,29966,33610,279,300
Georgia,McDuffie County,21875,21312,261,251
Georgia,McIntosh County,14333,14378,111,141
Georgia,Macon County,14740,12947,124,160
Georgia,Madison County,28120,29880,317,308
Georgia,Marion County,8742,8359,86,90
Georgia,Meriwether County,21992,21167,239,268
Georgia,Miller County,6125,5718,69,85
Georgia,Mitchell County,23498,21863,245,236
Georgia,Monroe County,26424,27578,241,342
Georgia,Montgomery County,9123,9172,102,86
Georgia,Morgan County,17868,19276,215,172
Georgia,Murray County,39628,40096,475,416
Georgia,Muscogee County,189885,195769,2774,1922
Georgia,Newton County,99958,111744,1373,906
Georgia,Oconee County,32808,40280,359,249
Georgia,Oglethorpe County,14899,15259,163,154
Georgia,Paulding County,142324,168667,1860,1079
Georgia,Peach County,27695,27546,339,283
Georgia,Pickens County,29431,32591,297,349
Georgia,Pierce County,18758,19465,263,226
Georgia,Pike County,17869,18962,205,189
Georgia,Polk County,41475,42613,580,489
Georgia,Pulaski County,12010,11137,92,114
Georgia,Putnam County,21218,22119,212,276
Georgia,Quitman County,2513,2299,16,24
Georgia,Rabun County,16276,17137,144,212
Georgia,Randolph County,7719,6778,63,71
Georgia,Richmond County,200549,202518,2893,2040
Georgia,Rockdale County,85215,90896,971,750
Georgia,Schley County,5010,5257,46,38
