,date,state,fips,cases,deaths,date_id
1116,2020-03-22,West Virginia,54,16,0,20200322
1117,2020-03-22,Wisconsin,55,382,4,20200322
1118,2020-03-22,Wyoming,56,26,0,20200322
1119,2020-03-23,Alabama,01,196,0,20200323
1120,2020-03-23,Alaska,02,36,0,20200323
1121,2020-03-23,Arizona,04,234,2,20200323
1122,2020-03-23,Arkansas,05,201,0,20200323
1123,2020-03-23,California,06,2240,39,20200323
1124,2020-03-23,Colorado,08,721,10,20200323
1125,2020-03-23,Connecticut,09,415,10,20200323
1126,2020-03-23,Delaware,10,87,0,20200323
1127,2020-03-23,District of Columbia,11,116,2,20200323
1128,2020-03-23,Florida,12,1222,18,20200323
1129,2020-03-23,Georgia,13,800,25,20200323
1130,2020-03-23,Guam,66,29,1,20200323
1131,2020-03-23,Hawaii,15,77,0,20200323
1132,2020-03-23,Idaho,16,50,0,20200323
1133,2020-03-23,Illinois,17,1285,12,20200323
1134,2020-03-23,Indiana,18,264,12,20200323
1135,2020-03-23,Iowa,19,105,0,20200323
1136,2020-03-23,Kansas,20,82,2,20200323
1137,2020-03-23,Kentucky,21,124,3,20200323
1138,2020-03-23,Louisiana,22,1172,34,20200323
1139,2020-03-23,Maine,23,107,0,20200323
1140,2020-03-23,Maryland,24,290,3,20200323
1141,2020-03-23,Massachusetts,25,777,9,20200323
1142,2020-03-23,Michigan,26,1324,16,20200323
1143,2020-03-23,Minnesota,27,235,1,20200323
1144,2020-03-23,Mississippi,28,249,1,20200323
1145,2020-03-23,Missouri,29,183,4,20200323
1146,2020-03-23,Montana,30,45,0,20200323
1147,2020-03-23,Nebraska,31,73,0,20200323
1148,2020-03-23,Nevada,32,265,4,20200323
1149,2020-03-23,New Hampshire,33,101,1,20200323
1150,2020-03-23,New Jersey,34,2844,27,20200323
1151,2020-03-23,New Mexico,35,83,0,20200323
1152,2020-03-23,New York,36,20899,183,20200323
1153,2020-03-23,North Carolina,37,302,0,20200323
1154,2020-03-23,North Dakota,38,32,0,20200323
1155,2020-03-23,Ohio,39,444,6,20200323
1156,2020-03-23,Oklahoma,40,81,2,20200323
1157,2020-03-23,Oregon,41,191,5,20200323
1158,2020-03-23,Pennsylvania,42,644,6,20200323
1159,2020-03-23,Puerto Rico,72,31,2,20200323
1160,2020-03-23,Rhode Island,44,106,0,20200323
1161,2020-03-23,South Carolina,45,299,5,20200323
1162,2020-03-23,South Dakota,46,28,1,20200323
1163,2020-03-23,Tennessee,47,522,2,20200323
1164,2020-03-23,Texas,48,728,7,20200323
1165,2020-03-23,Utah,49,257,1,20200323
1166,2020-03-23,Vermont,50,75,2,20200323
1167,2020-03-23,Virgin Islands,78,17,0,20200323
1168,2020-03-23,Virginia,51,254,6,20200323
1169,2020-03-23,Washington,53,2101,110,20200323
1170,2020-03-23,West Virginia,54,16,0,20200323
1171,2020-03-23,Wisconsin,55,418,5,20200323
1172,2020-03-23,Wyoming,56,28,0,20200323
1173,2020-03-24,Alabama,01,242,0,20200324
1174,2020-03-24,Alaska,02,42,0,20200324
1175,2020-03-24,Arizona,04,326,6,20200324
1176,2020-03-24,Arkansas,05,231,2,20200324
1177,2020-03-24,California,06,2644,52,20200324
1178,2020-03-24,Colorado,08,912,11,20200324
1179,2020-03-24,Connecticut,09,618,12,20200324
1180,2020-03-24,Delaware,10,104,0,20200324
1181,2020-03-24,District of Columbia,11,137,2,20200324
1182,2020-03-24,Florida,12,1467,20,20200324
1183,2020-03-24,Georgia,13,1095,38,20200324
1184,2020-03-24,Guam,66,32,1,20200324
1185,2020-03-24,Hawaii,15,90,0,20200324
1186,2020-03-24,Idaho,16,73,0,20200324
1187,2020-03-24,Illinois,17,1535,16,20200324
1188,2020-03-24,Indiana,18,371,17,20200324
1189,2020-03-24,Iowa,19,124,1,20200324
1190,2020-03-24,Kansas,20,102,3,20200324
1191,2020-03-24,Kentucky,21,157,3,20200324
1192,2020-03-24,Louisiana,22,1388,46,20200324
1193,2020-03-24,Maine,23,118,0,20200324
1194,2020-03-24,Maryland,24,349,4,20200324
1195,2020-03-24,Massachusetts,25,1159,11,20200324
1196,2020-03-24,Michigan,26,1791,24,20200324
1197,2020-03-24,Minnesota,27,264,1,20200324
1198,2020-03-24,Mississippi,28,320,1,20200324
1199,2020-03-24,Missouri,29,255,5,20200324
1200,2020-03-24,Montana,30,51,0,20200324
1201,2020-03-24,Nebraska,31,77,0,20200324
1202,2020-03-24,Nevada,32,315,6,20200324
1203,2020-03-24,New Hampshire,33,108,1,20200324
1204,2020-03-24,New Jersey,34,3675,44,20200324
1205,2020-03-24,New Mexico,35,100,0,20200324
1206,2020-03-24,New York,36,25704,264,20200324
1207,2020-03-24,North Carolina,37,397,0,20200324
1208,2020-03-24,North Dakota,38,37,0,20200324
1209,2020-03-24,Ohio,39,564,8,20200324
1210,2020-03-24,Oklahoma,40,106,3,20200324
1211,2020-03-24,Oregon,41,209,8,20200324
1212,2020-03-24,Pennsylvania,42,851,8,20200324
1213,2020-03-24,Puerto Rico,72,39,2,20200324
1214,2020-03-24,Rhode Island,44,124,0,20200324
1215,2020-03-24,South Carolina,45,342,8,20200324
1216,2020-03-24,South Dakota,46,30,1,20200324
1217,2020-03-24,Tennessee,47,678,2,20200324
1218,2020-03-24,Texas,48,857,11,20200324
1219,2020-03-24,Utah,49,299,1,20200324
