,full_county_name
1056,"Mills County, IA"
1593,"Mitchell County, IA"
2528,"Monona County, IA"
2604,"Monroe County, IA"
1507,"Montgomery County, IA"
2623,"Muscatine County, IA"
2850,"O'Brien County, IA"
2339,"Osceola County, IA"
2064,"Page County, IA"
326,"Palo Alto County, IA"
1956,"Plymouth County, IA"
186,"Pocahontas County, IA"
1750,"Polk County, IA"
1960,"Pottawattamie County, IA"
738,"Poweshiek County, IA"
327,"Ringgold County, IA"
1776,"Sac County, IA"
2092,"Scott County, IA"
795,"Shelby County, IA"
3048,"Sioux County, IA"
1575,"Story County, IA"
2602,"Tama County, IA"
2047,"Taylor County, IA"
1530,"Union County, IA"
1318,"Van Buren County, IA"
2484,"Wapello County, IA"
659,"Warren County, IA"
2959,"Washington County, IA"
910,"Wayne County, IA"
259,"Webster County, IA"
3088,"Winnebago County, IA"
1669,"Winneshiek County, IA"
2271,"Woodbury County, IA"
410,"Worth County, IA"
1481,"Wright County, IA"
1627,"Ada County, ID"
1014,"Adams County, ID"
2291,"Bannock County, ID"
2798,"Bear Lake County, ID"
678,"Benewah County, ID"
1363,"Bingham County, ID"
602,"Blaine County, ID"
1817,"Boise County, ID"
1350,"Bonner County, ID"
445,"Bonneville County, ID"
2797,"Boundary County, ID"
897,"Butte County, ID"
2992,"Camas County, ID"
3025,"Canyon County, ID"
2761,"Caribou County, ID"
1642,"Cassia County, ID"
253,"Clark County, ID"
1733,"Clearwater County, ID"
302,"Custer County, ID"
635,"Elmore County, ID"
224,"Franklin County, ID"
2007,"Fremont County, ID"
187,"Gem County, ID"
2730,"Gooding County, ID"
555,"Idaho County, ID"
61,"Jefferson County, ID"
299,"Jerome County, ID"
147,"Kootenai County, ID"
2568,"Latah County, ID"
1615,"Lemhi County, ID"
2154,"Lewis County, ID"
2980,"Lincoln County, ID"
230,"Madison County, ID"
1131,"Minidoka County, ID"
722,"Nez Perce County, ID"
1730,"Oneida County, ID"
2404,"Owyhee County, ID"
1832,"Payette County, ID"
578,"Power County, ID"
1833,"Shoshone County, ID"
573,"Teton County, ID"
2341,"Twin Falls County, ID"
1087,"Valley County, ID"
2542,"Washington County, ID"
734,"Adams County, IL"
2273,"Alexander County, IL"
155,"Bond County, IL"
1890,"Boone County, IL"
156,"Brown County, IL"
296,"Bureau County, IL"
2035,"Calhoun County, IL"
2835,"Carroll County, IL"
1758,"Cass County, IL"
2541,"Champaign County, IL"
2606,"Christian County, IL"
545,"Clark County, IL"
89,"Clay County, IL"
1130,"Clinton County, IL"
346,"Coles County, IL"
625,"Cook County, IL"
387,"Crawford County, IL"
381,"Cumberland County, IL"
979,"De Witt County, IL"
705,"DeKalb County, IL"
779,"Douglas County, IL"
2308,"DuPage County, IL"
2543,"Edgar County, IL"
2900,"Edwards County, IL"
355,"Effingham County, IL"
1658,"Fayette County, IL"
758,"Ford County, IL"
459,"Franklin County, IL"
431,"Fulton County, IL"
626,"Gallatin County, IL"
1556,"Greene County, IL"
1459,"Grundy County, IL"
906,"Hamilton County, IL"
82,"Hancock County, IL"
1379,"Hardin County, IL"
2908,"Henderson County, IL"
1545,"Henry County, IL"
737,"Iroquois County, IL"
3001,"Jackson County, IL"
2022,"Jasper County, IL"
2468,"Jefferson County, IL"
209,"Jersey County, IL"
1143,"Jo Daviess County, IL"
1640,"Johnson County, IL"
1333,"Kane County, IL"
1111,"Kankakee County, IL"
611,"Kendall County, IL"
2778,"Knox County, IL"
1813,"LaSalle County, IL"
2399,"Lake County, IL"
2479,"Lawrence County, IL"
679,"Lee County, IL"
1281,"Livingston County, IL"
2459,"Logan County, IL"
457,"Macon County, IL"
2449,"Macoupin County, IL"
2144,"Madison County, IL"
2051,"Marion County, IL"
1903,"Marshall County, IL"
1264,"Mason County, IL"
1531,"Massac County, IL"
1506,"McDonough County, IL"
2814,"McHenry County, IL"
145,"McLean County, IL"
847,"Menard County, IL"
351,"Mercer County, IL"
2221,"Monroe County, IL"
452,"Montgomery County, IL"
1895,"Morgan County, IL"
1731,"Moultrie County, IL"
1697,"Ogle County, IL"
2532,"Peoria County, IL"
1635,"Perry County, IL"
250,"Piatt County, IL"
1630,"Pike County, IL"
260,"Pope County, IL"
2138,"Pulaski County, IL"
1009,"Putnam County, IL"
1620,"Randolph County, IL"
834,"Richland County, IL"
574,"Rock Island County, IL"
2342,"Saline County, IL"
1772,"Sangamon County, IL"
1021,"Schuyler County, IL"
826,"Scott County, IL"
1657,"Shelby County, IL"
811,"St. Clair County, IL"
719,"Stark County, IL"
1068,"Stephenson County, IL"
